Comparison,Threshold,Run,t,p
GlcGlc-GlcCit,0.98,77,-12.0430584880784,9.74181733693664e-21
CitCit-GlcCit,0.98,77,-7.32539749024118,4.45645193701846e-10
GlcGlc-CitCit,0.98,78,2.40019021578385,0.0170835413586867
GlcGlc-GlcCit,0.98,78,-7.34674333414251,1.22911812231905e-11
CitCit-GlcCit,0.98,78,-10.5613379050984,3.79997018813296e-18
GlcGlc-CitCit,0.98,79,-2.09700446872674,0.0373385439216107
GlcGlc-GlcCit,0.98,79,-20.9714528432738,7.96937759916258e-53
CitCit-GlcCit,0.98,79,-15.8420370879289,1.70804289975409e-35
GlcGlc-CitCit,0.98,80,0.160038645772617,0.873198137390251
GlcGlc-GlcCit,0.98,80,-17.7015069767141,2.03979839502539e-45
CitCit-GlcCit,0.98,80,-11.0854145415501,8.33192407880379e-19
GlcGlc-CitCit,0.98,81,3.6071070630399,0.000382326620305964
GlcGlc-GlcCit,0.98,81,-12.2593013179112,5.63564179991342e-26
CitCit-GlcCit,0.98,81,-16.7831836536565,1.36945341763281e-34
GlcGlc-CitCit,0.98,82,6.48672984263654,4.59179636472435e-10
GlcGlc-GlcCit,0.98,82,-4.45421446621372,1.33494795677877e-05
CitCit-GlcCit,0.98,82,-10.9856964332542,2.31488799876753e-21
GlcGlc-CitCit,0.98,83,-3.39041742023959,0.000971239439339724
GlcGlc-GlcCit,0.98,83,-12.3394273324598,1.63543987711544e-22
CitCit-GlcCit,0.98,83,-6.10275208128843,9.31366476062059e-09
GlcGlc-CitCit,0.98,84,2.05671048715136,0.041522180476298
GlcGlc-GlcCit,0.98,84,-13.5332874839886,6.40721688840573e-32
CitCit-GlcCit,0.98,84,-12.8595487750263,1.86040487583579e-24
GlcGlc-CitCit,0.98,85,1.77960314699423,0.0765054004353041
GlcGlc-GlcCit,0.98,85,-7.83881691671105,6.19184709162247e-13
CitCit-GlcCit,0.98,85,-9.95529554770398,1.46595584193558e-17
GlcGlc-CitCit,0.98,86,-1.78080105143089,0.0786413624764955
GlcGlc-GlcCit,0.98,86,-10.4161972666347,1.4349171475862e-19
CitCit-GlcCit,0.98,86,-4.97220865822229,3.30839671837953e-06
GlcGlc-CitCit,0.98,87,2.3511269181127,0.0195940357414974
GlcGlc-GlcCit,0.98,87,-21.6321643817733,4.97949624351694e-64
CitCit-GlcCit,0.98,87,-21.713819522321,4.20446646222665e-52
GlcGlc-CitCit,0.98,88,-1.44472959188237,0.152589271147337
GlcGlc-GlcCit,0.98,88,-9.35095465523491,4.25799969552888e-14
CitCit-GlcCit,0.98,88,-6.02742186856976,3.24405536395119e-08
GlcGlc-CitCit,0.98,89,1.15140003918122,0.250819073289184
GlcGlc-GlcCit,0.98,89,-13.2046102696189,5.02262768393553e-30
CitCit-GlcCit,0.98,89,-13.3391599888398,3.53462754425208e-27
GlcGlc-CitCit,0.98,90,-1.03646107635166,0.302382359683998
GlcGlc-GlcCit,0.98,90,-9.31600659348848,6.7523646460467e-17
CitCit-GlcCit,0.98,90,-6.06169971423592,1.6813106759697e-08
GlcGlc-CitCit,0.98,91,2.07973868122188,0.0387804961432952
GlcGlc-GlcCit,0.98,91,-12.4814496224937,5.2624390196237e-27
CitCit-GlcCit,0.98,91,-15.3933154633417,1.52613031062228e-33
GlcGlc-CitCit,0.98,92,0.245848275670744,0.806132167343037
GlcGlc-GlcCit,0.98,92,-9.5937172748688,8.60811127236088e-17
CitCit-GlcCit,0.98,92,-8.79659803486458,9.82384596034705e-15
GlcGlc-CitCit,0.98,93,1.37266803192491,0.173339856851006
